Code CIS,Code CIP13,Code statut,Libellé statut,Date de début,Date mise à jour,Date remise à disposition,Lien ANSM
69602023,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
69588470,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
68932922,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
68444182,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
67418601,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
65982158,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
64784789,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
60326538,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
68693244,,2,Tension d'approvisionnement,04/10/2024,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/diamox250mgcomprimesecableacetazolamide
68716209,,2,Tension d'approvisionnement,18/07/2024,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/xeplionsuspensioninjectablealiberationprolongeepaliperidone
66614262,,2,Tension d'approvisionnement,18/07/2024,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/xeplionsuspensioninjectablealiberationprolongeepaliperidone
65554816,,2,Tension d'approvisionnement,18/07/2024,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/xeplionsuspensioninjectablealiberationprolongeepaliperidone
64760254,,2,Tension d'approvisionnement,18/07/2024,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/xeplionsuspensioninjectablealiberationprolongeepaliperidone
60713079,,2,Tension d'approvisionnement,18/07/2024,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/xeplionsuspensioninjectablealiberationprolongeepaliperidone
60605064,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
61221166,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
61390351,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
62505785,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
62706119,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
64942100,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
65151509,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
65225870,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
65506020,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
65618215,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
66172552,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
66377660,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
66390978,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
69203202,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
69276403,,2,Tension d'approvisionnement,28/01/2025,05/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/risperidone05mg1mg2mg3mget4mgcomprimeorodispersiblerisperidone
63030672,,4,Remise à disposition,05/02/2025,05/02/2025,05/02/2025,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/icatibantviatris30mgsolutioninjectableenseringuepreremplieicatibantacetated
65061047,,4,Remise à disposition,04/02/2025,04/02/2025,04/02/2025,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/kenacortretard40mg1mlsuspensioninjectabletriamcinoloneacetonidede
68227652,,2,Tension d'approvisionnement,29/11/2024,03/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/bitildiemlp90mgcomprimeenrobealiberationprolongeediltiazemchlorhydratede
61425560,,2,Tension d'approvisionnement,15/01/2025,03/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/etoposidetevasolutioninjectablepourperfusionetoposide
64307631,,2,Tension d'approvisionnement,10/01/2025,31/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/estrotep500mbqmlsolutioninjectablefluoroestradiol18f
62536738,,2,Tension d'approvisionnement,31/01/2025,31/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lytos520mgcomprimepelliculeclodronatedesodiumanhydre
67132888,,4,Remise à disposition,31/01/2025,31/01/2025,31/01/2025,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lamprene100mgcapsulemolleclofazimine
69716272,,2,Tension d'approvisionnement,05/09/2024,31/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/calcidia154ggranulepoursuspensionbuvableensachetdosecalciumcarbonatede
60490893,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
61017701,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
61489673,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62333104,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
64420401,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
64822649,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
64925631,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
65692742,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
66219105,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
67101782,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
67567958,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
67701122,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
68774283,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
68843886,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
69054687,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
60624171,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
60649235,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
60798791,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
60985570,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
61729702,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62181041,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62650834,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62895812,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
63121061,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
63373571,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
66086110,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
66429235,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
66437367,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
67567399,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
68198108,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
60078765,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62137575,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62346703,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62884118,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
62925159,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
64296341,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
64633851,,2,Tension d'approvisionnement,16/09/2024,30/01/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/quetiapinelpxeroquellp50mg300mget400mgcomprimealiberationprolongeequetiapinefumaratede
